frame_idx,timestamp_sec,x_pixel,y_pixel,x_mm,delta_x_mm,cell_number
452,20.1289,447.5,148.1,1.1144,0.1782,12
453,20.1735,508.0,225.1,0.7589,-0.3555,8
454,20.218,509.9,226.5,0.7476,-0.0113,-1
455,20.2625,511.8,228.0,0.7363,-0.0113,-1
456,20.3071,513.8,229.5,0.7249,-0.0113,-1
457,20.3516,515.7,231.0,0.7136,-0.0113,-1
458,20.3961,568.4,159.4,0.4037,-0.31,5
459,20.4407,361.3,103.5,1.6216,1.2179,17
460,20.4852,378.1,123.4,1.5229,-0.0987,16
461,20.5297,388.7,135.8,1.4604,-0.0625,15
462,20.5743,395.9,144.1,1.418,-0.0424,15
463,20.6188,401.3,150.4,1.3867,-0.0313,14
464,20.6633,405.3,155.2,1.3627,-0.024,14
465,20.7079,460.1,166.6,1.0408,-0.3219,11
466,20.7524,504.5,181.1,0.7795,-0.2614,8
467,20.7969,484.8,179.0,0.8954,0.1159,9
468,20.8415,469.6,176.9,0.985,0.0896,10
469,20.886,457.5,175.7,1.0561,0.0712,11
470,20.9305,447.7,174.1,1.1134,0.0572,12
471,20.9751,336.5,244.7,1.7679,0.6545,18
472,21.0196,353.6,228.0,1.6672,-0.1007,17
473,21.0641,367.2,214.9,1.5871,-0.0801,16
474,21.1087,364.3,216.3,1.6039,0.0168,-1
475,21.1532,361.5,217.8,1.6207,0.0168,-1
476,21.1977,358.6,219.2,1.6376,0.0168,-1
477,21.2423,355.8,220.6,1.6544,0.0168,-1
478,21.2868,352.9,222.1,1.6712,0.0168,-1
479,21.3313,350.0,223.5,1.688,0.0168,-1
480,21.3759,347.2,224.9,1.7048,0.0168,-1
481,21.4204,383.1,196.6,1.4935,-0.2113,15
482,21.4649,436.9,160.5,1.1771,-0.3164,12
483,21.5095,358.2,128.2,1.6399,0.4629,17
484,21.554,304.6,107.9,1.9552,0.3153,20
485,21.5985,300.4,105.2,1.9798,0.0246,-1
486,21.6431,296.3,102.6,2.0044,0.0246,-1
487,21.6876,237.4,99.5,2.3506,0.3462,24
488,21.7321,174.1,115.5,2.7232,0.3726,28
489,21.7767,165.8,113.6,2.7715,0.0483,-1
490,21.8212,157.6,111.6,2.8199,0.0483,-1
491,21.8657,256.4,175.6,2.2387,-0.5811,23
492,21.9103,304.4,188.6,1.9565,-0.2822,20
493,21.9548,334.7,201.8,1.778,-0.1785,18
494,21.9993,386.9,272.5,1.4713,-0.3067,15
495,22.0438,395.1,264.4,1.423,-0.0483,15
496,22.0884,401.4,257.9,1.3858,-0.0373,14
497,22.1329,406.1,252.6,1.358,-0.0278,14
498,22.1774,409.6,249.1,1.3379,-0.0201,14
